area label,area code,Cumulative 1st dose,Cumulative 2nd dose,Cumulative confirmed cases,IMD: Overall - extent (%),IMD: Barriers to Housing and Services - proportion of LSOAs in most deprived 10% nationally,IMD: Crime - proportion of LSOAs in most deprived 10% nationally,IMD: Education Skills and Training Deprivation - proportion of LSOAs in most deprived 10% nationally,IMD: Employment - proportion of LSOAs in most deprived 10% nationally,IMD: Health Deprivation and Disability - proportion of LSOAs in most deprived 10% nationally,IMD: Income Deprivation - proportion of LSOAs in most deprived 10% nationally,IMD: Living Environment Deprivation - proportion of LSOAs in most deprived 10% nationally,Total population
Havering,E09000016,167245.00,134516.00,30940.00,8.10,4.00,4.00,2.67,0.67,0.00,2.67,0.00,260651.00
Herefordshire,E06000019,141368.00,116904.00,8974.00,6.90,25.86,0.00,6.03,1.72,0.00,1.72,37.93,193615.00
Hertfordshire,E10000015,828289.00,668140.00,99946.00,2.40,6.67,1.88,0.58,0.29,0.00,0.14,1.01,1195672.00
Hertsmere,E07000098,74054.00,62121.00,10239.00,2.30,9.68,3.23,0.00,1.61,0.00,1.61,1.61,105471.00
High Peak,E07000037,69232.00,58813.00,7283.00,6.70,1.69,0.00,8.47,5.08,1.69,3.39,3.39,92633.00
Highland,S12000017,,,,,,,,,,,,235430.00
Hillingdon,E09000017,197764.00,152054.00,32319.00,6.90,16.15,6.83,0.00,0.00,0.00,0.62,0.62,309014.00
Hinckley and Bosworth,E07000132,82811.00,68513.00,8099.00,2.70,6.06,0.00,6.06,1.52,0.00,0.00,1.52,113666.00
Horsham,E07000227,109920.00,95700.00,7665.00,0.20,16.05,0.00,0.00,0.00,0.00,0.00,8.64,145474.00
Hounslow,E09000018,185210.00,135711.00,29622.00,8.90,42.25,8.45,0.00,0.70,0.00,1.41,5.63,271767.00
Huntingdonshire,E07000011,133313.00,111569.00,10203.00,1.80,10.48,0.00,6.67,0.00,0.00,0.00,0.95,178985.00
Hyndburn,E07000120,51964.00,41947.00,11535.00,48.00,0.00,17.31,17.31,30.77,44.23,21.15,46.15,81133.00
Inverclyde,S12000018,,,,,,,,,,,,77060.00
Ipswich,E07000202,91982.00,75892.00,9047.00,31.30,1.18,16.47,23.53,12.94,8.24,7.06,9.41,135979.00
Isle of Anglesey,W06000001,,,2774.00,,0,0,0,0,0,0,0,70440.00
Isle of Wight,E06000046,105410.00,91823.00,7988.00,16.50,4.49,1.12,5.62,6.74,0.00,3.37,19.10,142296.00
Isles of Scilly,E06000053,1674.00,1497.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,2226.00
Islington,E09000019,146418.00,98990.00,20439.00,27.10,3.25,15.45,0.00,7.32,0.81,10.57,17.89,248115.00
Kensington and Chelsea,E09000020,98296.00,75850.00,12163.00,19.90,43.69,9.71,0.00,10.68,0.00,16.50,40.78,156864.00
Kent,E10000016,1091592.00,881827.00,137278.00,14.00,10.09,13.08,9.31,5.76,1.55,5.21,6.10,1589057.00
King's Lynn and West Norfolk,E07000146,112524.00,93246.00,9012.00,17.00,15.73,1.12,13.48,5.62,5.62,5.62,11.24,151245.00
Kingston upon Hull,E06000010,170045.00,131285.00,25799.00,55.10,4.22,33.73,41.57,42.77,39.16,42.17,28.92,259126.00
