,region name,IMD: Overall - extent (%),IMD: Barriers to Housing and Services,IMD: Crime,IMD: Education Skills and Training Deprivation,IMD: Employment,IMD: Health Deprivation and Disability,IMD: Income Deprivation,IMD: Living Environment Deprivation,mean age,median age,white british,multiple ethnic group,Black British,Other Ethnic Group,Asian British,hesitancy measure
Fenland,East of England,21.5,9.09,3.64,20.0,5.45,9.09,3.64,3.64,42.1,43,0.8279938909352259,0.008094510825622136,0.004465007636330968,0.0014194591680891204,0.009657712694277244,0.6397354931125505
Folkestone and Hythe,South East,20.9,10.45,10.45,7.46,7.46,2.99,5.97,7.46,42.4,43,0.8777070611507698,0.010897049969897652,0.0039391072503655285,0.002838221381267739,0.03181388148275566,0.6775589736515382
Forest of Dean,South West,4.2,12.0,0.0,6.0,2.0,0.0,2.0,16.0,43.0,45,0.8965758832753195,0.005871820820497992,0.002213053680452842,0.0006894941114978703,0.005260172818362785,0.7334638574320866
Fylde,North West,7.7,1.96,0.0,0.0,7.84,7.84,1.96,9.8,44.9,47,0.8602873489553595,0.008646104009601604,0.001899346298605204,0.001899346298605204,0.009846304431419615,0.7088777728430845
Gateshead,North East,34.0,0.0,19.05,12.7,20.63,33.33,15.87,0.0,40.5,40,0.9252251170608716,0.00748229079121143,0.005191499579781486,0.00525873454196182,0.017951734902149116,0.659187048146439
Gedling,East Midlands,3.8,0.0,0.0,1.3,2.6,1.3,1.3,0.0,41.4,42,0.8616810383507779,0.02136581306749117,0.01348518098532375,0.0022189771494301636,0.02727220812700381,0.6688044836967623
Gloucester,South West,23.7,2.56,7.69,11.54,10.26,15.38,8.97,1.28,38.2,38,0.7881579138836746,0.025938213937515463,0.025363426026978653,0.0024446675688654124,0.04248337480537245,0.6299833765930765
Gosport,South East,16.9,0.0,9.43,18.87,1.89,0.0,0.0,5.66,39.8,40,0.9363340347247529,0.012531004243614008,0.006959056765684327,0.002421563671842857,0.012613290387802843,0.6882208401424926
Gravesham,South East,18.6,0.0,39.06,7.81,1.56,0.0,3.13,1.56,38.7,39,0.7228228564536832,0.017797916971769714,0.024853335171130503,0.016703853343785803,0.09135000559953825,0.5671103285169264
Great Yarmouth,East of England,39.3,4.92,11.48,26.23,24.59,16.39,22.95,14.75,42.1,43,0.8592941434164773,0.010577809416897115,0.004006607708384671,0.0023729339502961606,0.010988509523679142,0.6435301766370287
Greenwich,London,20.2,29.8,9.27,0.0,1.99,0.66,5.96,3.31,34.6,33,0.4869848289417112,0.037694244825256434,0.14942263988698484,0.014532276887169094,0.09180640009827407,0.5215500075635726
Guildford,South East,1.2,9.52,0.0,2.38,0.0,0.0,0.0,2.38,39.0,38,0.7993616227138757,0.016094572506016962,0.01065678211513958,0.01095923909546057,0.04257564642135475,0.6443855966413693
Halton,North West,46.8,0.0,13.92,17.72,36.71,45.57,29.11,7.59,38.9,39,0.892850661653153,0.009843134123590856,0.0018873266018684532,0.0010598064764338238,0.006845188406007506,0.6158429672096559
Hambleton,Yorkshire and The Humber,0.5,21.15,0.0,5.77,0.0,0.0,0.0,13.46,43.5,46,0.9260556672663774,0.006275796380569372,0.001989628532119801,0.0013123081807598688,0.006349878293999365,0.7426674866922571
Hammersmith and Fulham,London,16.4,7.08,6.19,0.0,1.77,0.88,7.08,14.16,34.7,32,0.49339121162446486,0.03996307672719749,0.08556411439848487,0.04013416516798498,0.06618735377906514,0.4752036833149834
Harborough,East Midlands,0.1,17.02,0.0,0.0,0.0,0.0,0.0,2.13,41.6,43,0.8188221778825806,0.009784952737972872,0.003295241550275107,0.00206582421347522,0.025827841264082874,0.7065343810997502
Haringey,London,32.1,37.93,25.52,0.0,4.83,0.69,13.1,6.9,34.2,32,0.4661765908038112,0.05010157770921829,0.14481257323132166,0.03649833933312947,0.07311778472792009,0.4742617523188159
Harlow,East of England,7.9,9.26,1.85,0.0,0.0,0.0,0.0,0.0,38.2,37,0.7295349442453605,0.01753718644271386,0.03093031170547136,0.0037036295569658267,0.037366619286901166,0.5616326940455869
Harrogate,Yorkshire and The Humber,1.3,16.35,0.0,0.0,0.96,0.96,0.96,8.65,42.0,43,0.8597420230821453,0.010047522063815343,0.006489024666214076,0.002613713509843856,0.013628649015614393,0.6869853879982977
Harrow,London,2.7,27.74,0.0,0.0,0.0,0.0,0.0,0.0,37.6,36,0.32907987556269364,0.031008131514433355,0.06433395682560823,0.023013720094405218,0.33233770430797255,0.5280244982803335
Hart,South East,0.0,3.51,0.0,0.0,0.0,0.0,0.0,0.0,40.0,41,0.8139833954271233,0.013777256652230648,0.004784688995215311,0.002524727197080016,0.02314806059345273,0.69127631329414
Hartlepool,North East,49.7,0.0,32.76,20.69,43.1,36.21,37.93,0.0,39.8,40,0.9168069541795476,0.0056115005152377745,0.0017344637956189484,0.0010712864619999388,0.013304357585218288,0.6336155393743809
Hastings,South East,43.8,3.77,18.87,18.87,24.53,20.75,26.42,13.21,40.2,41,0.8657880443137215,0.01996372095883251,0.010914457300388411,0.0049601852895661885,0.021787921333920903,0.6139852247075723
Havant,South East,25.5,2.56,15.38,28.21,5.13,3.85,3.85,0.0,42.3,44,0.9005668053558107,0.011643735531851078,0.002983995631676498,0.0014843071054473302,0.01097464372784114,0.68933257361094
Havering,London,8.1,4.0,4.0,2.67,0.67,0.0,2.67,0.0,40.4,40,0.7547400767129656,0.01791785319927936,0.04170177834602197,0.00480908932411228,0.04193424187830534,0.595878638690836
Hertsmere,East of England,2.3,9.68,3.23,0.0,1.61,0.0,1.61,1.61,39.4,39,0.7125988216929352,0.02197995870889773,0.03295734931265421,0.008635882974973563,0.06204575591251658,0.6034220116311364
High Peak,East Midlands,6.7,1.69,0.0,8.47,5.08,1.69,3.39,3.39,41.1,43,0.9262394951419913,0.009830568485946661,0.001916127755735366,0.0010309600424880502,0.007404167577868725,0.7008760037543018
Hillingdon,London,6.9,16.15,6.83,0.0,0.0,0.0,0.62,0.62,36.4,35,0.4692433176434604,0.02967764957773284,0.05687437339631939,0.022914577987731312,0.19613190821707535,0.5437728812788503
Hinckley and Bosworth,East Midlands,2.7,6.06,0.0,6.06,1.52,0.0,0.0,1.52,41.7,43,0.861411148344078,0.00873462722618177,0.002228308016805865,0.0014798686829168722,0.01910221299903043,0.6913059771407157
