Title:,COVID-19 Vaccinations By Lower Tier Local Authority (LTLA) of Residence and Age Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summary:,"The number of people who have been vaccinated for COVID-19, split by LTLA of residence and age group, as reported to the date of publication.",,,,,,,,,,,,,,,,,,,149952,,,,,,,,,,,,,,,,
"Period1,2:",8th December 2020 to 8th July 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:,"National Immunisation Management Service (NIMS), NHS Foundry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basis:,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Published:,9th July 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Status:,Published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions3:,"The data in this release includes all vaccinations administered in England, even if individuals vaccinated do not have an NHS number or are no longer resident in the population.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTLA Code,UTLA Name,LTLA Cod,LTLA Name,1st dose,,,,,,,,,,,,,,Total 1st Doses,,2nd dose,,,,,,,,,,,,,,Total 2nd Doses,,Cumulative Total Doses (1st and 2nd doses) to Date
,,,,Under 25,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,,,,Under 25,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,,,,
E10000032,West Sussex,E07000226,Crawley,5602,5079,6714,7495,7469,6878,7017,6633,5731,4424,4062,2592,4187,,73883,,1959,1794,2451,3642,5237,5993,6715,6395,5573,4362,4005,2551,4051,,54728,,128611
E09000008,Croydon,E09000008,Croydon,14292,14652,19413,21415,21407,20566,22378,22218,18169,14118,12959,9139,13485,,224211,,4228,4949,7154,8943,13461,15512,20398,20661,17161,13478,12493,8716,12502,,159656,,383867
E10000015,Hertfordshire,E07000096,Dacorum,7656,6263,7968,9029,9535,9756,10233,10265,8798,7125,6888,4975,7561,,106052,,1985,1922,2670,3486,7413,8434,9837,9997,8592,6997,6794,4893,7241,,80261,,186313
E06000005,Darlington,E06000005,Darlington,4465,3883,4928,5261,5667,6118,7291,7495,6763,5809,5872,4145,5980,,73677,,1676,1487,1903,2116,3079,4623,6977,7221,6591,5728,5807,4079,5760,,57047,,130724
E10000016,Kent,E07000107,Dartford,4624,4376,5884,6982,6949,6716,6987,6575,5345,4209,4137,2928,4435,,70147,,1542,1671,2432,3519,4706,5333,6601,6332,5227,4083,4059,2860,4253,,52618,,122765
E06000015,Derby,E06000015,Derby,16123,12253,13210,14172,13803,14443,15565,15176,12608,10752,10737,7939,12021,,168802,,4764,5143,6925,9575,11323,12813,14699,14607,12250,10538,10555,7760,11520,,132472,,301274
E10000007,Derbyshire,E07000035,Derbyshire Dales,3675,2427,2597,2740,3275,4224,5563,6098,5498,4975,5452,4112,5297,,55933,,928,756,901,1059,2351,3551,5407,5975,5417,4921,5405,4051,5104,,45826,,101759
E08000017,Doncaster,E08000017,Doncaster,15130,12564,14947,15480,15017,16545,20065,20952,18852,16066,16038,11435,15526,,208617,,4902,5201,8004,9669,12601,14619,19004,20173,18376,15827,15852,11260,15024,,170512,,379129
E06000059,Dorset,E06000059,Dorset,18361,12803,14502,15323,16614,19912,25183,28305,27610,26123,29706,22593,32006,,289041,,5456,4811,6674,8458,12956,17823,24344,27584,27102,25745,29337,22272,30977,,243539,,532580
E10000016,Kent,E07000108,Dover,5534,4485,5098,5198,5343,6004,7483,8292,7677,7124,7390,5534,7033,,82195,,1771,1798,2225,2395,3268,4662,7113,7971,7443,6979,7253,5423,6697,,64998,,147193
